Date,Fed Rate,CPI,Unemployment,Inflation YoY
5/1/2024,5.33,313.175,3.9,3.24%
6/1/2024,5.33,313.044,4.1,2.97%
7/1/2024,5.33,313.569,4.2,2.94%
8/1/2024,5.33,314.062,4.2,2.61%
9/1/2024,5.13,314.732,4.1,2.43%
10/1/2024,4.83,315.631,4.1,2.58%
11/1/2024,4.64,316.528,4.2,2.72%
12/1/2024,4.48,317.604,4.1,2.87%
1/1/2025,4.33,318.961,4,2.99%
2/1/2025,4.33,319.679,4.2,2.80%
3/1/2025,4.33,319.785,4.2,2.38%
4/1/2025,4.33,320.302,4.2,2.33%
5/1/2025,4.33,320.62,4.3,2.38%
6/1/2025,4.33,321.435,4.1,2.68%
7/1/2025,4.33,322.169,4.3,2.74%
8/1/2025,4.33,323.291,4.3,2.94%
9/1/2025,4.22,324.245,4.4,3.02%
11/1/2025,3.88,325.063,4.5,2.70%
12/1/2025,3.72,326.031,4.4,2.65%
1/1/2026,3.64,326.588,4.3,2.39%
2/1/2026,3.64,327.46,4.4,2.43%
